ID,Hora de inicio,Hora de finalización,Correo electrónico,Nombre,Hora de la última modificación,"¿Con qué frecuencia planificas tus tareas académicas antes de comenzarlas?
","¿Con qué frecuencia divides tareas grandes en actividades más pequeñas antes de iniciarlas?
","¿Con qué frecuencia cumples tus actividades académicas sin necesidad de presión externa (por ejemplo, recordatorios o supervisión)?
","¿Con qué frecuencia logras mantener la concentración durante el tiempo que estudias?
","¿Con qué frecuencia evitas iniciar tareas académicas que consideras difíciles o poco interesantes?
","¿Con qué frecuencia revisas el celular mientras estás estudiando?
","¿Con qué frecuencia el uso de redes sociales interfiere con tu tiempo de estudio?
","¿Con qué frecuencia dejas tareas académicas para el último momento?
"
1,02/13/2026 13:16:32,02/13/2026 13:18:34,anonymous,,,A veces,A veces,Siempre,Frecuentemente,A veces,Frecuentemente,A veces,Rara vez
2,02/13/2026 13:45:13,02/13/2026 13:46:12,anonymous,,,Rara vez,A veces,Rara vez,Rara vez,A veces,Frecuentemente,Frecuentemente,A veces
3,02/13/2026 13:48:55,02/13/2026 13:49:25,anonymous,,,Frecuentemente,Frecuentemente,Siempre,A veces,A veces,Frecuentemente,Frecuentemente,A veces
4,02/13/2026 13:48:06,02/13/2026 13:51:14,anonymous,,,Rara vez, Nunca,Frecuentemente,Rara vez,Frecuentemente,Frecuentemente,Frecuentemente,A veces
5,02/13/2026 13:51:53,02/13/2026 13:52:35,anonymous,,,Siempre,Frecuentemente,Siempre,A veces,A veces,A veces,Frecuentemente,Rara vez
6,02/13/2026 13:53:59,02/13/2026 13:55:40,anonymous,,,A veces,Frecuentemente,A veces,Siempre,Rara vez,Rara vez,A veces,A veces
7,02/13/2026 13:54:24,02/13/2026 13:56:20,anonymous,,,Frecuentemente,Frecuentemente,Siempre,Frecuentemente,A veces,A veces,Rara vez,A veces
8,02/13/2026 13:56:11,02/13/2026 13:56:54,anonymous,,,Siempre,Frecuentemente,A veces,A veces,Frecuentemente,Frecuentemente,Frecuentemente,Rara vez
9,02/13/2026 13:55:09,02/13/2026 13:56:55,anonymous,,,Rara vez,Rara vez,Rara vez,A veces,Frecuentemente,Siempre,Frecuentemente,Frecuentemente
10,02/13/2026 13:57:51,02/13/2026 13:58:28,anonymous,,,Frecuentemente,Frecuentemente,Rara vez,A veces,Rara vez,Frecuentemente,Frecuentemente,A veces
11,02/13/2026 13:59:55,02/13/2026 14:00:28,anonymous,,,Rara vez,Rara vez,Rara vez,Nunca,Frecuentemente,Siempre,Siempre,Siempre
12,02/13/2026 13:59:41,02/13/2026 14:00:32,anonymous,,,Nunca,Rara vez,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Rara vez,Frecuentemente
13,02/13/2026 14:00:42,02/13/2026 14:01:40,anonymous,,,Frecuentemente,Rara vez,Siempre,A veces,Frecuentemente,Siempre,Siempre,Rara vez
14,02/13/2026 14:02:31,02/13/2026 14:03:07,anonymous,,,Frecuentemente,A veces,Siempre,Frecuentemente,A veces,A veces,Frecuentemente,Rara vez
15,02/13/2026 14:03:06,02/13/2026 14:04:32,anonymous,,,Rara vez,A veces,A veces,Rara vez,A veces,Frecuentemente,Frecuentemente,A veces
16,02/13/2026 14:04:19,02/13/2026 14:05:54,anonymous,,,A veces,A veces,Frecuentemente,Frecuentemente,A veces,A veces,A veces,Rara vez
17,02/13/2026 14:05:52,02/13/2026 14:06:36,anonymous,,,A veces,Frecuentemente,Frecuentemente,Frecuentemente,A veces,Frecuentemente,A veces,A veces
18,02/13/2026 14:10:59,02/13/2026 14:16:18,anonymous,,,A veces, Nunca,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Frecuentemente,A veces
19,02/13/2026 14:16:38,02/13/2026 14:19:17,anonymous,,,A veces,A veces,Siempre,A veces,Frecuentemente,Frecuentemente,Frecuentemente,Siempre
20,02/13/2026 14:22:16,02/13/2026 14:23:42,anonymous,,,A veces,A veces,Rara vez,Rara vez,A veces,A veces,Frecuentemente,Frecuentemente
21,02/13/2026 14:25:53,02/13/2026 14:26:50,anonymous,,,Siempre,Frecuentemente,Siempre,Frecuentemente,Rara vez,Siempre,A veces,Rara vez
22,02/13/2026 14:28:29,02/13/2026 14:29:32,anonymous,,,A veces,A veces,Frecuentemente,A veces,Rara vez,Frecuentemente,Frecuentemente,A veces
23,02/13/2026 14:31:00,02/13/2026 14:32:56,anonymous,,,A veces,Frecuentemente,Frecuentemente,A veces,Frecuentemente,Siempre,Frecuentemente,Siempre
24,02/13/2026 15:39:06,02/13/2026 15:39:57,anonymous,,,Rara vez, Nunca,Frecuentemente,Rara vez,Siempre,Siempre,Siempre,Siempre
25,02/13/2026 15:39:50,02/13/2026 15:42:19,anonymous,,,Siempre,Rara vez,Siempre,A veces,Frecuentemente,A veces,Frecuentemente,Rara vez
26,02/13/2026 15:47:36,02/13/2026 15:48:16,anonymous,,,Nunca, Nunca,Nunca,Rara vez,Siempre,A veces,Siempre,Siempre
27,02/13/2026 15:56:43,02/13/2026 15:58:47,anonymous,,,Frecuentemente,Rara vez,Frecuentemente,A veces,A veces,Frecuentemente,A veces,A veces
28,02/13/2026 16:28:45,02/13/2026 16:30:55,anonymous,,,A veces,Rara vez,Rara vez,A veces,Frecuentemente,Frecuentemente,A veces,Frecuentemente
29,02/13/2026 17:01:59,02/13/2026 17:05:45,anonymous,,,Rara vez,Rara vez,Frecuentemente,A veces,Nunca,Frecuentemente,Frecuentemente,Frecuentemente
30,02/13/2026 17:17:12,02/13/2026 17:19:53,anonymous,,,Rara vez,Rara vez,Frecuentemente,Rara vez,Nunca,Frecuentemente,Frecuentemente,A veces
31,02/13/2026 17:30:46,02/13/2026 17:32:25,anonymous,,,A veces,Rara vez,A veces,Rara vez,Frecuentemente,Frecuentemente,Frecuentemente,Siempre
32,02/13/2026 17:58:14,02/13/2026 18:00:56,anonymous,,,Rara vez,Rara vez,Frecuentemente,A veces,Frecuentemente,Frecuentemente,Frecuentemente,A veces
33,02/13/2026 18:20:46,02/13/2026 18:21:48,anonymous,,,A veces, Nunca,Nunca,A veces,Rara vez,Siempre,Frecuentemente,A veces
34,02/13/2026 18:25:33,02/13/2026 18:26:25,anonymous,,,A veces, Nunca,Nunca,Frecuentemente,Siempre,Siempre,Siempre,Siempre
35,02/13/2026 19:11:03,02/13/2026 19:12:42,anonymous,,,Siempre,A veces,Siempre,Frecuentemente,Rara vez,A veces,A veces,Rara vez
36,02/13/2026 21:10:13,02/13/2026 21:12:02,anonymous,,,A veces,A veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente
37,02/13/2026 21:18:42,02/13/2026 21:19:33,anonymous,,,Frecuentemente,Rara vez,A veces,A veces,A veces,Frecuentemente,Frecuentemente,Frecuentemente
38,02/13/2026 22:47:10,02/13/2026 22:49:38,anonymous,,,A veces,Frecuentemente,Nunca,Frecuentemente,A veces,Nunca,Nunca,Nunca
39,02/14/2026 03:03:33,02/14/2026 03:05:07,anonymous,,,Rara vez,Frecuentemente,A veces,Rara vez,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente
40,02/14/2026 08:48:50,02/14/2026 08:50:02,anonymous,,,Rara vez, Nunca,A veces,A veces,Frecuentemente,Frecuentemente,Siempre,Frecuentemente
41,02/14/2026 11:15:30,02/14/2026 11:16:33,anonymous,,,Siempre,Siempre,Siempre,A veces,A veces,Frecuentemente,Siempre,Rara vez
42,02/14/2026 11:16:45,02/14/2026 11:17:06,anonymous,,,Rara vez,Rara vez,Rara vez,Rara vez,Rara vez,Siempre,Siempre,Siempre
43,02/15/2026 16:16:30,02/15/2026 16:17:59,anonymous,,,Frecuentemente,Frecuentemente,A veces,Rara vez,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente
44,02/16/2026 02:42:31,02/16/2026 02:43:30,anonymous,,,Rara vez,Frecuentemente,A veces,A veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente
45,02/16/2026 12:50:44,02/16/2026 12:51:38,anonymous,,,Frecuentemente,A veces,A veces,Rara vez,Frecuentemente,Siempre,Siempre,Frecuentemente
46,02/16/2026 13:07:21,02/16/2026 13:08:08,anonymous,,,Frecuentemente,Siempre,Frecuentemente,A veces,Rara vez,Frecuentemente,A veces,Rara vez
47,02/17/2026 12:07:37,02/17/2026 12:08:50,anonymous,,,Siempre,Siempre,Siempre,Frecuentemente,Nunca,A veces,Rara vez,Frecuentemente
48,02/17/2026 12:10:51,02/17/2026 12:17:28,anonymous,,,Frecuentemente,Rara vez,A veces,Frecuentemente,A veces,A veces,A veces,A veces
